name,slug,type,state,city,seats,annual_fees,closing_rank_open,nirf_rank,asmi_recommended,course,established_year,hospital_beds,photo,photo_placeholder_color,contact_phone,contact_email,website,address,affiliated_university,opd_daily,bond_years,bond_penalty,hostel_available,asmi_pulse_score,asmi_verdict,description,attached_hospital,nearby_airport,nearby_railway_station,google_location,pg_courses_availability
"ESIC Medical College & Hospital, Jaipur (Rajasthan)",esic-medical-college-hospital-jaipur-rajasthan,Government,Rajasthan,Jaipur (Rajasthan),50,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"ESIC Medical College & Hospital, K.K.Nagar, Chennai",esic-medical-college-hospital-k-k-nagar-chennai,Government,Tamil Nadu,Chennai,150,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
ESIC Medical College Ludhiana,esic-medical-college-ludhiana,Government,Punjab,,50,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"ESIC Medical College and Hospital, Alwar, Rajasthan",esic-medical-college-and-hospital-alwar-rajasthan,Government,Rajasthan,Rajasthan,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"ESIC Medical College and Hospital, Beltola",esic-medical-college-and-hospital-beltola,Government,Assam,Beltola,50,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"ESIC Medical College and Hospital, Indore, M.P.",esic-medical-college-and-hospital-indore-m-p,Government,Madhya Pradesh,M.P.,50,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"ESIC Medical College and Hospital, varanasi",esic-medical-college-and-hospital-varanasi,Government,Uttar Pradesh,varanasi,50,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Employees State Insurance Coporation Medical College, Sanath Nagar, Hyderabad",employees-state-insurance-coporation-medical-college-sanath-nagar-hyderabad,Government,Telangana,Hyderabad,150,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Employees State Insurance Corporation Medical College, Bangalore",employees-state-insurance-corporation-medical-college-bangalore,Government,Karnataka,Bangalore,150,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Employees State Insurance Corporation Medical College, Bihta, Patna",employees-state-insurance-corporation-medical-college-bihta-patna,Government,Bihar,Patna,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Employees State Insurance Corporation Medical College, Joka, Kolkata",employees-state-insurance-corporation-medical-college-joka-kolkata,Government,West Bengal,Kolkata,150,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Employees State Insurance Corporation Medical College, Kalaburagi, Gulbarga",employees-state-insurance-corporation-medical-college-kalaburagi-gulbarga,Government,Karnataka,Gulbarga,150,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Fakhruddin Ali Ahmed Medical College,fakhruddin-ali-ahmed-medical-college,Government,Assam,,125,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"GMERS MEDICAL COLLEGE, NAVSARI",gmers-medical-college-navsari,Government,Gujarat,NAVSARI,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GMERS Medical College Morbi,gmers-medical-college-morbi,Government,Gujarat,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GMERS Medical College Panchmahal Godhra,gmers-medical-college-panchmahal-godhra,Government,Gujarat,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"GMERS Medical College, Porbandar",gmers-medical-college-porbandar,Government,Gujarat,Porbandar,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"GMERS Medical College, Rajpipla",gmers-medical-college-rajpipla,Government,Gujarat,Rajpipla,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"GOVERMENT MEDICAL COLLEGE, SHEOPUR",goverment-medical-college-sheopur,Government,Madhya Pradesh,SHEOPUR,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GOVERNMENT MEDICAL COLLEGE & HOSPITAL AMRAVATI,government-medical-college-hospital-amravati,Government,Maharashtra,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"GOVERNMENT MEDICAL COLLEGE AND DISTRICT GENERAL HOSPITAL,RATNAGIRI, MAHARASHTRA",government-medical-college-and-district-general-hospital-ratnagiri-maharashtra,Government,Maharashtra,MAHARASHTRA,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GOVERNMENT MEDICAL COLLEGE AND HOSPITAL  SUNDARGARH,government-medical-college-and-hospital-sundargarh,Government,Odisha,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GOVERNMENT MEDICAL COLLEGE DAUSA,government-medical-college-dausa,Government,Rajasthan,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GOVERNMENT MEDICAL COLLEGE HANDWARA,government-medical-college-handwara,Government,Jammu & Kashmir,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GOVERNMENT MEDICAL COLLEGE JHUNJHUNU,government-medical-college-jhunjhunu,Government,Rajasthan,,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"GOVERNMENT MEDICAL COLLEGE KHAMMAM, TELANGANA",government-medical-college-khammam-telangana,Government,Telangana,TELANGANA,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"GOVERNMENT MEDICAL COLLEGE KONNI, PATHANAMTHITTA",government-medical-college-konni-pathanamthitta,Government,Kerala,PATHANAMTHITTA,100,,,,FALSE,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
